Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
How have Governor Whitmer's executive orders impacted the University in terms of employment?	The University never closed; the University has been in continuous, but limited, operation during the pandemic. Prior to June 5, the orders addressed the need for the people of Michigan “to remain at home or in their place of residence to the maximum extent feasible” due to the novel coronavirus (COVID-19) disease. As of June 5, 2020, the executive orders requiring remote work for all non-necessary employees were rescinded. However, the University has established that employees should continue to work remotely whenever possible until further notice by an employee's supervisor. No one should come to work who is ill .Continue to check the site [remote.msu.edu/working](https://remote.msu.edu/working/index.html)  for updates.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2384
Should I provide employees with face coverings?	Yes. The University will provide face coverings and any other required personal protective equipment for employees returning to campus. As such, units are expected to take the following action:\n\n1.  Place orders through the University Stores catalog in Spartan Marketplace ( [EBS login](https://login.msu.edu/?App=EBSP-SAP) required). To avoid duplicate orders, designate one person from your area to place the order. If you placed an order previously through the online survey and did not receive it, please reorder through University Stores. Additional information is available on the [University Services website](https://usd.msu.edu/news/2020/3/Updates.html) .\n\n2.  Once you receive the face coverings, coordinate with your employees to get the face coverings to them.University-provided face coverings will be made of cloth. Each employee performing in-person work will be issued one cloth face covering. The University will not be responsible for keeping employees’ face coverings clean; it is the employee’s responsibility to clean their face covering properly. Employees are allowed to use their own face coverings. Employees can view information on how to wear, clean and store face coverings by visiting the [Environmental Health and Safety website](https://ehs.msu.edu/_assets/docs/fact-sheets/cloth-face-covering-fact-sheet.pdf) .	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2385
Which employees need to wear a face covering?	Per [President Stanley’s message to the campus community on June 26, 2020](https://president.msu.edu/communications/messages-statements/2020_community_letters/2020_06_26_return_update.html) , face coverings will be required for everyone (faculty, staff, students, contractors, suppliers, vendors and visitors) while on campus, either indoors or outdoors. Please review the [June 26 Statement of Face Coverings](https://msu.edu/coronavirus/_assets/pdfs/KeepingMSUsafe.pdf) for more details.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2386
Is the University in "modified operations" under the University's Modified Operations Policy and Procedure?	No, the authority to initiate modified operations under the policy rests solely with the President and/or an authorized designee. This pandemic was unprecedented and that policy was not appropriate in this unique situation.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2387
An employee has been approved to work remotely, can the employee still choose to come to work?	Not without approval from the employee's supervisor.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2388
Can employees be required to report to work?	Yes, staff that were deemed required to sustain or protect life or conduct minimum basic operations have been required to report to work during the pandemic. At this point, no one should be coming to work without supervisory approval. The Reopening Campus Task Force has created a [template](https://msu.edu/coronavirus/reopening-campus/return-to-work-framework.html) for returning employees to work. No one should come to work who is ill.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2389
Should employees be sent home if they are sick?	Yes, employees should be sent home if they are sick.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2390
If someone calls in sick with respiratory symptoms and a fever, should I tell others who came into contact with that individual?	No, it is important to maintain the privacy and confidentiality of information about illness. Local health authorities and/or the University Physician's Office will be responsible for any investigation to assess potential risk of exposure associated with a suspected case of COVID-19 and will contact those who may have been exposed.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2391
Will MSU provide childcare support if I am required to come to work and schools are closed?	The MSU WorkLife office does provide emergency dependent care support to MSU faculty and academic, staff and students. Please visit the [MSU Worklife Office](https://worklife.msu.edu/family-care/kids-parents/backup-care) for additional, up-to-date information as circumstances evolve. Availability may be limited, and dependent upon providers being open for business. In addition, again, we encourage flexibility on the part of administrators/supervisors about telecommuting.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2392
Should post docs who have research duties in a lab be required to come to work?	Please review the [website of the Office of the Senior Vice President for Research and Innovation](https://vp.research.msu.edu/) for up-to-date guidance. This office has developed guidance on the continuation of essential research.	https://github.com/lanemat2/qnafiles/raw/main/msu-hr-covid-faq-copy.docx		[]	false	[]	2393
