Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
What is the main cause of HIV-1 infection in children?	Mother-to-child transmission (MTCT) is the main cause of HIV-1 infection in children worldwide.	COVID-QA-FORMATTED.xlsx		[]	false	[]	197
What plays the crucial role in the Mother to Child Transmission of HIV-1 and what increases the risk	DC-SIGNR plays a crucial role in MTCT of HIV-1 and that impaired placental DC-SIGNR expression increases risk of transmission.	COVID-QA-FORMATTED.xlsx		[]	false	[]	198
How many children were infected by HIV-1 in 2008-2009, worldwide?	more than 400,000 children were infected worldwide, mostly through MTCT and 90% of them lived in sub-Saharan Africa.	COVID-QA-FORMATTED.xlsx		[]	false	[]	199
What is the role of C-C Motif Chemokine Ligand 3 Like 1 (CCL3L1) in mother to child transmission of HIV-1?	High copy numbers of CCL3L1, a potent HIV-1 suppressive ligand for CCR5, are associated with higher chemokine production and lower risk of MTCT of HIV-1 among South African infants	COVID-QA-FORMATTED.xlsx		[]	false	[]	200
What is DC-GENR and where is  it expressed?	Dendritic cell-specific ICAM-grabbing non-integrin-related (DC-SIGNR, also known as CD209L or liver/lymph node-specific ICAM-grabbing non-integrin (L-SIGN)) can interact with a plethora of pathogens including HIV-1 and is expressed in placental capillary endothelial cells	COVID-QA-FORMATTED.xlsx		[]	false	[]	201
How does the presence of DC-SIGNR affect the MTCT of HIV-1?	the presence of DC-SIGNR at the placental endothelial cell surface may protect infants from HIV-1 infection by capturing virus and promoting its degradation/presentation.	COVID-QA-FORMATTED.xlsx		[]	false	[]	202
Why do low levels of DC-SIGNR enhance Mother to Child Transmission of HIV-1?	in placenta containing low levels of DC-SIGNR, HIV-1 would preferentially binds CCR5 on endothelial cells resulting in a loss of placental barrier integrity and enhanced passage of maternal HIV-1-infected cells in foetal circulation leading to MTCT of HIV-1	COVID-QA-FORMATTED.xlsx		[]	false	[]	203
What is the percentage of Mother to Child Transmission of HIV-1, when there is no intervention?	Without specific interventions, the rate of HIV-1 mother-tochild transmission (MTCT) is approximately 15-45%	COVID-QA-FORMATTED.xlsx		[]	false	[]	204
Does C-C chemokine receptor type 5 (CCR5) affect the transmission of HIV-1?	Genetic variants in CCR5 have been shown to influence vertical transmission of HIV-1. CCR5 promoter variants resulting in higher expression of the receptor were associated with increased risk of MTCT of HIV-1 among sub-Saharan Africans	COVID-QA-FORMATTED.xlsx		[]	false	[]	205
How does Mannanose Binding Lectin (MBL) affect elimination of HIV-1 pathogen?	Mannose-binding lectin (MBL) is an innate immune receptor synthesised in the liver and secreted in the bloodstream in response to inflammation signal. MBL promotes pathogen elimination by opsonization and phagocytosis,	COVID-QA-FORMATTED.xlsx		[]	false	[]	206
How can CCR5's effect in HIV-1 transmission be reduced?	The 32-pb deletion polymorphism in CCR5 has be shown to protect from vertical transmission of HIV-1	COVID-QA-FORMATTED.xlsx		[]	false	[]	207
What is IFITM?	interferon-induced transmembrane	COVID-QA-FORMATTED.xlsx		[]	false	[]	208
How many cysteine residues are contained in the first transmembrane domain of IFITM3?	three	COVID-QA-FORMATTED.xlsx		[]	false	[]	209
What inhibits S-palmitoylation?	2-bromopalmitic acid (2BP)	COVID-QA-FORMATTED.xlsx		[]	false	[]	210
What interaction is inhibited by the presence of 2-bromopalmitic acid (2BP)?	IFITM5 with FKBP11	COVID-QA-FORMATTED.xlsx		[]	false	[]	211
What is a function associated with IFITM5?	bone formation factor.	COVID-QA-FORMATTED.xlsx		[]	false	[]	212
What regulates the antiviral activity of IFITM3?	S-palmitoylation on the protein	COVID-QA-FORMATTED.xlsx		[]	false	[]	213
What is another name for IFITM5?	bonerestricted IFITM-like (BRIL) protein	COVID-QA-FORMATTED.xlsx		[]	false	[]	214
Why is the expression of IFITM5 not promoted by interferons?	the region upstream of the ifitm5 gene lacks the interferon regulatory elements	COVID-QA-FORMATTED.xlsx		[]	false	[]	215
What is the amino acid similarity between IFITM5 and the other IFITM proteins?	~ 65% similarity	COVID-QA-FORMATTED.xlsx		[]	false	[]	216
What is the amino acid similarity between IFITM 1, IFITM 2, and IFITM 3?	~ 85% similarity	COVID-QA-FORMATTED.xlsx		[]	false	[]	217
What amino acid might be involved in calcium binding in the C-terminal region of a protein?	aspartate	COVID-QA-FORMATTED.xlsx		[]	false	[]	218
What is the size of bovine coronavirus?	31 kb	COVID-QA-FORMATTED.xlsx		[]	false	[]	219
What is the molecular structure of bovine coronavirus?	single-stranded, linear, and nonsegmented RNA	COVID-QA-FORMATTED.xlsx		[]	false	[]	220
How many nucleotides does bovine coronavirus contain?	30,847 nucleotides	COVID-QA-FORMATTED.xlsx		[]	false	[]	221
What is the size of the orf1ab gene in bovine coronavirus?	20kb	COVID-QA-FORMATTED.xlsx		[]	false	[]	222
Is the orf1ab gene at the 3' or 5' end of the bovine coronavirus genome?	5= side	COVID-QA-FORMATTED.xlsx		[]	false	[]	223
What is a significant cause of Influenze like illness among healthy adolescents and adults presenting for medical evaluation?	HCoV	COVID-QA-FORMATTED.xlsx		[]	false	[]	224
What is the most common species of Human Coronavirus among adults?	HCoV-OC43	COVID-QA-FORMATTED.xlsx		[]	false	[]	225
Which Human Coronavirus showed species specific clinical characteristics of its infection?	HCoVâ€HKU1	COVID-QA-FORMATTED.xlsx		[]	false	[]	226
What causes the outbreak of SARS and MERS.	Highly virulent species of HCoV	COVID-QA-FORMATTED.xlsx		[]	false	[]	227
What is the case fatality rate of SARS and MERS?	ranged from 14% to 45%	COVID-QA-FORMATTED.xlsx		[]	false	[]	228
What were the common HCOV strains in the 5 year USA study?	HCoV-OC43 and HCoV-229E	COVID-QA-FORMATTED.xlsx		[]	false	[]	229
Which species are more prevalent but less severe?	HCoV-HKU1, HCoV-OC43, HCoV-NL63, and HCoV-229E	COVID-QA-FORMATTED.xlsx		[]	false	[]	230
What is required for a Hepatitis B infection in cells?	both intracellular and cell-surface factors	COVID-QA-FORMATTED.xlsx		[]	false	[]	231
What regulates the broad, but less specific, virus-cell interaction in a hepatitis B infection?	heparan sulfates in the membrane proteins	COVID-QA-FORMATTED.xlsx		[]	false	[]	232
Which protein domain of the Hepatitis B envelope is necessary for infection?	Nterminus of HBV preS1 (amino acids 1-47)	COVID-QA-FORMATTED.xlsx		[{"clusterHead":"Hlv","totalAutoSuggestedCount":0,"totalUserSuggestedCount":1,"alternateQuestionList":[{"question":"Hlv","autoSuggestedCount":0,"userSuggestedCount":1}]}]	false	[]	233
Where is NTCP located in the body?	lateral surface (canalicular) of hepatocytes	COVID-QA-FORMATTED.xlsx		[]	false	[]	234
What does the NTCP protein mediate?	bile acid transport	COVID-QA-FORMATTED.xlsx		[]	false	[]	235
Is NTCP sufficient to allow HBV infection?	not sufficient	COVID-QA-FORMATTED.xlsx		[]	false	[]	236
Why is NTCP thought to not be sufficient for HBV infection?	the majority of HepaRG cells were found to express NPCT but not to be infected	COVID-QA-FORMATTED.xlsx		[]	false	[]	237
What kinds of viruses are Japanese encephalitis virus(JEV), tick-borne encephalitis virus(TBEV), eastern equine encephalitis virus (EEEV), sindbis virus(SV), and dengue virus(DV)?	arboviruses	COVID-QA-FORMATTED.xlsx		[]	false	[]	238
What are the current clinically-available methods to detect encephalitis viral antigens?	ELISA and IFA	COVID-QA-FORMATTED.xlsx		[{"clusterHead":"ELISA","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"ELISA","autoSuggestedCount":1,"userSuggestedCount":0}]}]	false	[]	239
What methods exist for detecting multiple antigens simultaneously in a one-sample, laboratory test?	two-dimensional gel electrophoresis , protein chip, mass spectrometry, and suspension array technology	COVID-QA-FORMATTED.xlsx		[]	false	[]	240
How many antigens could be detected by Liew's multiplex ELISA test?	9	COVID-QA-FORMATTED.xlsx		[]	false	[]	241
What kind of antibodies were used in the ELISA-array assay?	monoclonal	COVID-QA-FORMATTED.xlsx		[]	false	[]	242
How was the ELISA assay validated?	using cultured viruses and inoculated chicken eggs with patient sera	COVID-QA-FORMATTED.xlsx		[{"clusterHead":"ELISA","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"ELISA","autoSuggestedCount":1,"userSuggestedCount":0}]}]	false	[]	243
How was the ELISA-array assay validated?	using cultured viruses and inoculated chicken eggs with patient sera	COVID-QA-FORMATTED.xlsx		[{"clusterHead":"ELISA","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"ELISA","autoSuggestedCount":1,"userSuggestedCount":0}]}]	false	[]	243
What capture antibodies were used in the study?	4D5, 2B5, 1F1, 2B8, 4F9, and 4E11	COVID-QA-FORMATTED.xlsx		[]	false	[]	244
What was the spotting concentration range for the capture antibodies?	from 0.2 to 0.0125 mg/ml	COVID-QA-FORMATTED.xlsx		[]	false	[]	245
How was the proper spotting concentration determined?	combination of minimized cross reaction and higher signal intensity	COVID-QA-FORMATTED.xlsx		[]	false	[]	246
How was cross reaction detection determined?	by applying JEV, YF, and DV cultures	COVID-QA-FORMATTED.xlsx		[]	false	[]	247
In 2010, how many cases of tuberculosis were estimated in China?	108 per 100,000	COVID-QA-FORMATTED.xlsx		[]	false	[]	248
What is the population of Shandong province?	94 million	COVID-QA-FORMATTED.xlsx		[]	false	[]	249
What was the purpose of this study?	estimate the TB prevalence in Shandong	COVID-QA-FORMATTED.xlsx		[]	false	[]	250
What was the age range for the people surveyed?	15 years old or above	COVID-QA-FORMATTED.xlsx		[{"clusterHead":"age","totalAutoSuggestedCount":2,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"age","autoSuggestedCount":2,"userSuggestedCount":0}]}]	false	[]	251
How was the survey designed?	in accordance with WHO recommendations	COVID-QA-FORMATTED.xlsx		[]	false	[]	252
Was was the sample size?	52500	COVID-QA-FORMATTED.xlsx		[{"clusterHead":"How was the sample","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"How was the sample","autoSuggestedCount":1,"userSuggestedCount":0}]}]	false	[]	253
How were the clusters selected?	A stratified multi stage random sampling	COVID-QA-FORMATTED.xlsx		[{"clusterHead":"How was the sample","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"How was the sample","autoSuggestedCount":1,"userSuggestedCount":0}]}]	false	[]	254
How many people were in a community cluster?	1250 to 1750	COVID-QA-FORMATTED.xlsx		[]	false	[]	255
Who was excluded from the study?	Military barracks and prisons	COVID-QA-FORMATTED.xlsx		[]	false	[]	256
When was the study conducted?	March to June 2010	COVID-QA-FORMATTED.xlsx		[{"clusterHead":"Conducting","totalAutoSuggestedCount":48,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"Conducting","autoSuggestedCount":48,"userSuggestedCount":0}]},{"clusterHead":"coducted","totalAutoSuggestedCount":4,"totalUserSuggestedCount":1,"alternateQuestionList":[{"question":"coducted","autoSuggestedCount":4,"userSuggestedCount":1}]}]	false	[]	257
Who conducted the study?	clinicians, public health doctors, radiologists, laboratory technicians and nurses	COVID-QA-FORMATTED.xlsx		[{"clusterHead":"Conducting","totalAutoSuggestedCount":48,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"Conducting","autoSuggestedCount":48,"userSuggestedCount":0}]},{"clusterHead":"coducted","totalAutoSuggestedCount":4,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"coducted","autoSuggestedCount":4,"userSuggestedCount":0}]}]	false	[]	258
What medium was used to collect the sputum samples?	LÃ¶wenstein-Jensen medium	COVID-QA-FORMATTED.xlsx		[]	false	[]	259
What was the response rate for the study?	95% to 97%	COVID-QA-FORMATTED.xlsx		[]	false	[]	260
What was the average age of a study participant?	46 years	COVID-QA-FORMATTED.xlsx		[{"clusterHead":"age","totalAutoSuggestedCount":2,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"age","autoSuggestedCount":2,"userSuggestedCount":0}]}]	false	[]	261
What was the prevalence rate in Shandong in 2010 for sputum positive cases of tuberculosis?	22.1	COVID-QA-FORMATTED.xlsx		[]	false	[]	262
What was the most striking finding of the study regarding tuberculosis patients?	a large proportion of TB patients did not present consistent cough	COVID-QA-FORMATTED.xlsx		[]	false	[]	263
How many cases of sputum positive tuberculosis patients had no persistent cough?	0.45	COVID-QA-FORMATTED.xlsx		[]	false	[]	264
